Census Section,Total dwellings,Occupied dwellings,Secondary or seasonal dwellings,Vacant dwellings
Sección 0801906027,570,530,0,35*
Sección 0801906028,660,575,65*,25*
Sección 0801906029,1015,655,130*,230*
Sección 0801906030,535,535,0,0
Sección 0801906031,545,545,0,0
Sección 0801906032,740,545,50*,145*
Sección 0801906033,955,615,180*,160*
Sección 0801906034,925,565,175,185
Sección 0801906035,645,475,110*,55*
Sección 0801906036,585,560,0,25*
Sección 0801906037,620,445,105*,70*
Sección 0801906038,1220,850,280,90*
Sección 0801906039,785,785,0,0
Sección 0801906040,785,725,0,60*
Sección 0801906041,1025,685,115*,220*
Sección 0801906042,1550,675,410,465
Sección 0801906043,955,660,150*,150
Sección 0801906044,1155,655,180*,315
Sección 0801906045,935,625,225*,85*
Sección 0801906046,595,545,50*,0
Sección 0801906047,765,525,190,50*
Sección 0801906048,925,540,335,45*
Sección 0801906049,585,585,0,0
Sección 0801906050,705,615,40*,55*
Sección 0801906051,700,525,175*,0
Sección 0801906052,880,745,140*,0
Sección 0801906053,690,615,50*,25*
Sección 0801906054,950,855,65*,30*
Sección 0801906055,575,575,0,0
Sección 0801906056,815,815,0,0
Sección 0801906057,1030,635,390,0
Sección 0801906058,970,845,55*,75*
Sección 0801906059,920,870,0,50*
Sección 0801906060,910,910,0,0
Sección 0801906061,675,675,0,0
Sección 0801906062,655,605,0,45*
Sección 0801906063,940,810,100*,35*
Sección 0801906064,900,875,0,25*
Sección 0801906065,580,520,30*,30*
Sección 0801906066,395,345,0,50*
Sección 0801906067,995,760,155*,80*
Sección 0801906068,860,585,170*,105*
Sección 0801906069,730,505,225*,0
Sección 0801906070,1040,795,30*,210
Sección 0801906071,490,420,0,70*
Sección 0801906072,885,710,110*,60*
Sección 0801906073,835,605,175*,55*
Sección 0801906074,625,575,0,50*
Sección 0801906075,495,445,45*,0
Sección 0801906076,600,565,0,35*
Sección 0801906077,730,660,0,70*
Sección 0801906078,700,595,105*,0
Sección 0801906079,605,520,50*,35*
Sección 0801906080,565,540,0,25*
Sección 0801906081,575,535,20*,20*
Sección 0801906082,895,820,0,75*
Sección 0801906083,840,755,45*,45*
Sección 0801906084,855,785,70*,0
Sección 0801906085,645,610,0,30*
Sección 0801906086,350,350,0,0
Sección 0801906087,1260,1115,150*,0
Sección 0801906088,540,540,0,0
Sección 0801907001,635,610,25*,0
Sección 0801907002,565,540,0,25*
Sección 0801907003,645,590,0,55*
Sección 0801907004,650,650,0,0
Sección 0801907005,775,775,0,0
Sección 0801907006,465,435,30*,0
Sección 0801907007,610,610,0,0
Sección 0801907008,590,590,0,0
Sección 0801907009,665,665,0,0
Sección 0801907010,690,580,0,110*
Sección 0801907011,830,670,110*,50*
Sección 0801907012,925,765,0,160*
Sección 0801907013,505,480,25*,0
Sección 0801907014,480,355,0,125*
Sección 0801907015,695,670,25*,0
Sección 0801907016,610,610,0,0
Sección 0801907017,965,790,0,175*
Sección 0801907018,735,690,45*,0
Sección 0801907019,720,720,0,0
Sección 0801907020,695,695,0,0
Sección 0801907021,440,385,0,55*
Sección 0801907022,510,450,25*,35*
Sección 0801907023,565,520,0,45*
Sección 0801907024,710,710,0,0
Sección 0801907025,640,640,0,0
Sección 0801907026,435,435,0,0
Sección 0801907027,915,810,50*,55*
Sección 0801907028,755,755,0,0
Sección 0801907029,585,540,45*,0
Sección 0801907030,660,640,0,25*
Sección 0801907031,640,640,0,0
Sección 0801907032,535,535,0,0
Sección 0801907033,690,615,0,75*
Sección 0801907034,775,775,0,0
Sección 0801907035,685,685,0,0
Sección 0801907036,830,525,220*,85*
Sección 0801907037,630,560,5,65*
Sección 0801907038,585,585,0,0
Sección 0801907039,720,720,0,0
Sección 0801907040,845,675,70*,100*
Sección 0801907041,670,575,90*,0
Sección 0801907042,800,680,95*,25*
Sección 0801907043,765,575,80*,110*
Sección 0801907044,615,615,0,0
Sección 0801907045,900,840,0,55*
Sección 0801907046,605,580,0,20*
Sección 0801907047,590,590,0,0
Sección 0801907048,695,625,0,70*
Sección 0801907049,570,570,0,0
Sección 0801907050,675,485,60*,125*
Sección 0801907051,910,805,0,105*
Sección 0801907052,615,590,0,25*
Sección 0801907053,605,500,105*,0
Sección 0801907054,725,570,0,150*
Sección 0801907055,670,495,145*,25*
Sección 0801907056,590,490,100*,0
Sección 0801907057,695,670,0,25*
Sección 0801907058,600,530,0,70*
Sección 0801907059,550,470,0,80*
Sección 0801907060,800,585,0,210*
Sección 0801907061,410,410,0,0
Sección 0801907062,505,505,0,0
Sección 0801907063,635,610,0,25*
Sección 0801907064,720,670,0,50*
Sección 0801907065,775,730,0,45*
Sección 0801907066,530,505,25*,0
Sección 0801907067,600,600,0,0
Sección 0801907068,465,395,0,70*
Sección 0801907069,770,660,0,110*
Sección 0801907070,500,500,0,0
Sección 0801907071,595,595,0,0
Sección 0801907072,650,575,75*,0
Sección 0801907073,535,510,20*,0
Sección 0801907074,780,725,0,55*
Sección 0801907075,510,485,0,25*
Sección 0801907076,530,530,0,0
Sección 0801907077,545,545,0,0
Sección 0801907078,695,635,0,60*
Sección 0801907079,635,635,0,0
Sección 0801907080,780,740,0,40*
Sección 0801907081,870,870,0,0
Sección 0801907082,585,585,0,0
Sección 0801907083,735,650,0,85*
Sección 0801907084,680,630,0,50*
Sección 0801907085,625,550,0,75*
Sección 0801907086,580,535,0,45*
Sección 0801907087,750,730,0,25*
Sección 0801907088,725,440,60*,220
Sección 0801907089,590,525,25*,45*
Sección 0801907090,690,615,0,75*
Sección 0801907091,535,460,0,70*
Sección 0801907092,700,655,0,45*
Sección 0801907093,630,560,0,70*
Sección 0801907094,585,585,0,0
Sección 0801907095,790,690,0,105*
Sección 0801907096,580,525,0,55*
Sección 0801907097,365,330,0,35*
Sección 0801907098,760,640,0,120*
Sección 0801907099,440,440,0,0
Sección 0801907100,615,500,20*,95*
Sección 0801907101,640,595,0,50*
Sección 0801907103,520,500,0,25*
Sección 0801907104,795,745,0,50*
Sección 0801907105,445,445,0,0
Sección 0801907106,625,530,75*,25*
Sección 0801907107,485,485,0,0
Sección 0801907108,495,495,0,0
Sección 0801907109,800,705,25*,70*
Sección 0801907110,440,345,60*,35*
Sección 0801907111,370,345,0,25*
Sección 0801907112,585,490,0,100*
Sección 0801907113,605,530,75*,0
Sección 0801907114,650,565,0,85*
Sección 0801907115,440,440,0,0
Sección 0801907116,900,825,25*,50*
Sección 0801907117,560,490,70*,0
Sección 0801907118,580,560,0,25*
Sección 0801907119,650,545,0,105*
Sección 0801907120,580,535,45*,0
Sección 0801907121,575,475,50*,50*
Sección 0801907122,660,570,45*,45*
Sección 0801907123,540,540,0,0
Sección 0801908001,520,495,0,25*
Sección 0801908002,605,605,0,0
Sección 0801908003,615,615,0,0
Sección 0801908004,635,635,0,0
Sección 0801908005,540,540,0,0
Sección 0801908006,785,785,0,0
Sección 0801908007,500,475,25*,0
Sección 0801908008,815,815,0,0
Sección 0801908009,710,710,0,0
Sección 0801908010,365,345,0,20*
Sección 0801908011,415,415,0,0
Sección 0801908012,830,660,0,170*
Sección 0801908013,475,475,0,0
Sección 0801908014,765,555,140*,70*
Sección 0801908015,665,465,0,195*
Sección 0801908016,725,610,0,115*
Sección 0801908017,545,500,0,45*
Sección 0801908018,720,615,55*,55*
Sección 0801908019,955,780,0,170*
Sección 0801908020,530,530,0,0
Sección 0801908021,630,630,0,0
Sección 0801908022,745,630,55*,55*
Sección 0801908023,840,595,55*,185*
Sección 0801908024,775,660,60*,60*
Sección 0801908025,785,665,0,120*
Sección 0801908026,885,650,0,235*
Sección 0801908027,745,575,0,170*
Sección 0801908028,475,475,0,0
Sección 0801908029,730,730,0,0
Sección 0801908030,680,635,45*,0
Sección 0801908031,625,625,0,0
Sección 0801908032,535,535,0,0
Sección 0801908033,725,665,0,65*
Sección 0801908034,560,510,25*,25*
Sección 0801908035,785,785,0,0
Sección 0801908036,765,515,45*,200*
Sección 0801908037,690,665,0,25*
Sección 0801908038,790,790,0,0
Sección 0801908039,805,600,125*,75*
Sección 0801908040,770,770,0,0
Sección 0801908041,910,770,25*,115*
Sección 0801908042,680,655,25*,0
Sección 0801908043,525,455,0,70*
Sección 0801908044,590,470,0,120*
Sección 0801908045,730,705,0,25*
Sección 0801908046,750,610,25*,115*
Sección 0801908047,670,490,0,180*
Sección 0801908048,885,360,0,525
Sección 0801908049,630,630,0,0
Sección 0801908050,1510,1340,55*,115*
Sección 0801908051,490,490,0,0
Sección 0801908052,500,450,0,50*
Sección 0801908053,470,470,0,0
Sección 0801908054,785,685,100*,0
Sección 0801908055,1190,1020,25*,150*
Sección 0801908056,730,635,0,95*
Sección 0801908057,545,490,45*,10*
Sección 0801908058,795,795,0,0
Sección 0801908059,520,520,0,0
Sección 0801908060,500,455,0,45*
Sección 0801908061,710,710,0,0
Sección 0801908062,420,420,0,0
Sección 0801908063,380,380,0,0
Sección 0801908064,700,655,25*,25*
Sección 0801908065,575,495,60*,25*
Sección 0801908066,530,425,80*,25*
Sección 0801908067,770,710,0,60*
Sección 0801908068,715,690,0,25*
Sección 0801908069,550,425,0,125*
Sección 0801908070,480,480,0,0
Sección 0801908071,600,470,70*,60*
Sección 0801908072,670,500,110*,60*
Sección 0801908073,600,575,25*,0
Sección 0801908074,545,545,0,0
Sección 0801908075,810,790,25*,0
Sección 0801908076,740,700,0,45*
Sección 0801908077,525,525,0,0
Sección 0801908078,750,730,0,25*
Sección 0801908079,665,665,0,0
Sección 0801908080,780,780,0,0
Sección 0801908081,855,830,0,25*
Sección 0801908082,840,765,75*,0
Sección 0801908083,485,485,0,0
Sección 0801908084,470,470,0,0
Sección 0801908085,670,585,0,85*
Sección 0801908086,820,655,65*,100*
Sección 0801908087,800,635,70*,95*
Sección 0801908088,645,645,0,0
Sección 0801908089,585,455,0,130*
Sección 0801908090,730,705,0,25*
Sección 0801908091,610,520,0,90*
Sección 0801908092,410,365,25*,25*
Sección 0801908093,645,590,0,50*
Sección 0801908094,735,615,115*,0
Sección 0801908095,530,510,0,25*
Sección 0801908096,585,560,0,25*
Sección 0801908097,580,580,0,0
Sección 0801908098,595,485,0,110*
Sección 0801908099,595,515,0,75*
Sección 0801908100,710,520,0,185*
Sección 0801908101,755,715,0,45*
Sección 0801908102,520,385,0,130*
Sección 0801908103,730,665,0,65*
Sección 0801908104,380,380,0,0
Sección 0801908105,575,465,0,115*
Sección 0801908106,495,360,35*,100*
Sección 0801908107,820,655,65*,100*
Sección 0801908108,340,260,0,80*
Sección 0801908109,395,255,45*,90*
Sección 0801908110,830,685,0,150*
Sección 0801908111,770,580,110*,80*
Sección 0801908112,770,645,0,125*
Sección 0801908113,745,580,25*,145*
Sección 0801908114,875,595,100*,185*
Sección 0801908115,845,650,0,195*
Sección 0801908116,430,430,0,0
Sección 0801909001,885,670,25*,190*
Sección 0801909002,695,560,25*,110*
Sección 0801909003,765,710,0,60*
Sección 0801909004,720,665,0,55*
Sección 0801909005,490,490,0,0
Sección 0801909006,545,385,0,155*
Sección 0801909007,605,505,0,100*
Sección 0801909008,720,720,0,0
Sección 0801909009,410,410,0,0
Sección 0801909010,660,660,0,0
Sección 0801909011,515,305,110*,105*
Sección 0801909012,620,390,0,230
Sección 0801909013,885,800,25*,60*
Sección 0801909014,575,495,0,80*
Sección 0801909015,650,555,0,100*
Sección 0801909016,590,560,0,30*
Sección 0801909017,700,625,0,75*
Sección 0801909018,780,780,0,0
Sección 0801909019,1095,995,25*,80*
Sección 0801909020,620,440,0,185*
Sección 0801909021,630,630,0,0
Sección 0801909022,540,465,20*,50*
Sección 0801909023,550,475,0,75*
Sección 0801909024,575,420,25*,130*
Sección 0801909025,780,610,150*,25*
Sección 0801909026,875,775,0,100*
Sección 0801909027,620,620,0,0
Sección 0801909028,580,580,0,0
Sección 0801909029,465,465,0,0
Sección 0801909030,695,645,50*,0
Sección 0801909031,460,440,0,20*
Sección 0801909032,925,460,0,465
Sección 0801909033,1920,1325,230,365
Sección 0801909034,560,560,0,0
Sección 0801909035,760,555,105*,100*
Sección 0801909036,565,540,25*,0
Sección 0801909037,575,575,0,0
Sección 0801909038,665,665,0,0
Sección 0801909039,895,810,65*,20*
Sección 0801909040,775,570,50*,155*
Sección 0801909041,830,610,65*,150*
Sección 0801909042,805,805,0,0
Sección 0801909043,670,670,0,0
Sección 0801909044,620,620,0,0
Sección 0801909045,685,685,0,0
Sección 0801909046,565,565,0,0
Sección 0801909047,710,685,0,20*
Sección 0801909048,655,600,0,55*
Sección 0801909049,555,555,0,0
Sección 0801909050,905,905,0,0
Sección 0801909051,680,520,70*,90*
Sección 0801909052,605,605,0,0
Sección 0801909053,640,615,0,25*
Sección 0801909054,640,560,60*,25*
Sección 0801909055,1080,1080,0,0
Sección 0801909056,500,500,0,0
Sección 0801909057,775,625,20*,130*
Sección 0801909058,740,625,0,115*
Sección 0801909059,700,630,0,70*
Sección 0801909060,755,605,75*,75*
Sección 0801909061,910,840,0,70*
Sección 0801909062,545,390,0,155*
Sección 0801909063,760,485,155*,120*
Sección 0801909064,475,425,0,50*
Sección 0801909065,960,860,40*,55*
Sección 0801909066,625,520,100*,0
Sección 0801909067,695,615,0,80*
Sección 0801909068,845,735,0,105*
Sección 0801909069,435,385,50*,0
Sección 0801909070,790,770,0,20*
Sección 0801909071,885,755,65*,65*
Sección 0801909072,835,700,0,140*
Sección 0801909073,670,620,0,50*
Sección 0801909074,725,725,0,0
Sección 0801909075,755,550,25*,180*
Sección 0801909076,665,575,90*,0
Sección 0801909077,825,700,25*,100*
Sección 0801909078,710,575,20*,110*
Sección 0801909079,810,810,0,0
Sección 0801909080,620,560,0,60*
Sección 0801909081,715,635,0,85*
Sección 0801909082,835,835,0,0
Sección 0801909083,1005,915,0,90*
Sección 0801909084,885,725,0,155
Sección 0801909085,1075,935,70*,70*
Sección 0801909086,775,710,0,65*
Sección 0801909087,575,475,25*,75*
Sección 0801909088,870,720,0,150*
Sección 0801909089,925,905,0,25*
Sección 0801909090,1045,810,145*,95*
Sección 0801909091,805,785,0,25*
Sección 0801909092,985,895,25*,70*
Sección 0801909093,870,805,0,65*
Sección 0801909094,1005,1005,0,0
Sección 0801909095,1100,970,80*,45*
Sección 0801910001,665,665,0,0
Sección 0801910002,1000,765,145*,90*
Sección 0801910003,950,720,50*,175*
Sección 0801910004,850,705,0,145*
Sección 0801910005,740,615,0,125*
Sección 0801910006,1080,795,0,285
Sección 0801910007,860,775,0,80*
Sección 0801910008,1125,810,65*,255*
Sección 0801910009,785,560,0,225
Sección 0801910010,1125,1005,0,120*
Sección 0801910011,605,505,50*,50*
Sección 0801910012,1015,885,0,130*
Sección 0801910013,870,570,75*,225
Sección 0801910014,760,610,55*,95*
Sección 0801910015,1030,885,60*,85*
Sección 0801910016,750,585,60*,105*
Sección 0801910017,855,650,0,210
Sección 0801910018,865,715,105*,50*
Sección 0801910019,800,760,25*,15*
Sección 0801910020,1065,690,0,375
Sección 0801910021,545,545,0,0
Sección 0801910022,655,525,25*,105*
Sección 0801910023,560,560,0,0
Sección 0801910024,760,610,100*,45*
Sección 0801910025,535,480,0,55*
Sección 0801910026,735,695,0,45*
Sección 0801910027,650,650,0,0
Sección 0801910028,580,580,0,0
Sección 0801910029,540,515,25*,0
Sección 0801910030,855,855,0,0
Sección 0801910031,895,815,55*,25*
Sección 0801910032,620,620,0,0
Sección 0801910033,575,550,25*,0
Sección 0801910034,835,705,0,130*
Sección 0801910035,960,865,70*,25*
Sección 0801910036,640,505,110*,25*
Sección 0801910037,1325,1235,0,90*
Sección 0801910038,645,645,0,0
Sección 0801910039,670,670,0,0
Sección 0801910040,1105,1040,0,70*
Sección 0801910041,925,750,0,175*
Sección 0801910042,1070,755,60*,250
Sección 0801910043,980,610,0,370
Sección 0801910044,900,900,0,0
Sección 0801910045,760,615,50*,100*
Sección 0801910046,760,625,135*,0
Sección 0801910047,730,705,25*,0
Sección 0801910048,675,585,90*,0
Sección 0801910049,680,680,0,0
Sección 0801910050,745,720,25*,0
Sección 0801910051,920,895,0,25*
Sección 0801910052,930,930,0,0
Sección 0801910053,690,645,0,45*
Sección 0801910054,460,450,0,10*
Sección 0801910055,935,830,50*,60*
Sección 0801910056,760,620,0,140*
Sección 0801910057,580,485,25*,70*
Sección 0801910058,450,375,25*,50*
Sección 0801910059,1100,745,25*,335
Sección 0801910060,920,700,60*,155*
Sección 0801910061,770,665,65*,40*
Sección 0801910062,815,745,0,70*
Sección 0801910063,530,435,0,95*
Sección 0801910064,805,605,25*,175*
Sección 0801910065,835,770,0,65*
Sección 0801910066,715,655,0,55*
Sección 0801910067,840,840,0,0
Sección 0801910068,935,855,80*,0
Sección 0801910069,1185,980,0,205
Sección 0801910070,775,655,0,120
Sección 0801910071,680,620,0,65*
Sección 0801910072,935,865,0,65*
Sección 0801910073,660,635,0,25*
Sección 0801910074,960,830,35*,100*
Sección 0801910075,720,635,85*,0
Sección 0801910076,2705,2220,75*,410
Sección 0801910077,815,710,105*,0
Sección 0801910078,810,810,0,0
Sección 0801910079,840,840,0,0
Sección 0801910080,1575,1155,265,155*
Sección 0801910081,700,625,50*,25*
Sección 0801910082,595,570,25*,0
Sección 0801910083,795,795,0,0
Sección 0801910084,530,530,0,0
Sección 0801910085,625,625,0,0
Sección 0801910086,1105,670,25*,410*
Sección 0801910087,740,740,0,0
Sección 0801910088,560,560,0,0
Sección 0801910089,545,430,60*,60*
Sección 0801910090,440,375,65*,0
Sección 0801910091,825,735,0,90*
Sección 0801910092,485,460,0,25*
Sección 0801910093,495,495,0,0
Sección 0801910094,1775,1175,180*,420
Sección 0801910095,685,545,0,140*
Sección 0801910096,800,745,0,55*
Sección 0801910097,885,705,20*,155*
Sección 0801910098,705,560,0,150*
Sección 0801910099,435,435,0,0
Sección 0801910100,835,755,0,80*
Sección 0801910101,1045,820,50*,175*
Sección 0801910102,1070,975,0,95*
Sección 0801910103,915,855,60*,0
Sección 0801910104,800,775,25*,0
Sección 0801910105,915,915,0,0
Sección 0801910106,450,410,0,45*
Sección 0801910107,795,675,60*,60*
Sección 0801910108,680,635,45*,0
Sección 0801910109,755,685,0,75*
Sección 0801910110,820,725,50*,50*
Sección 0801910111,585,520,40*,25*
Sección 0801910112,640,600,0,40*
Sección 0801910113,630,630,0,0
Sección 0801910114,750,690,0,60*
Sección 0801910115,615,555,0,60*
Sección 0801910116,895,725,25*,145*
Sección 0801910117,545,505,0,40*
Sección 0801910118,400,400,0,0
Sección 0801910119,585,400,60*,125*
Sección 0801910120,770,770,0,0
Sección 0801910121,795,775,25*,0
Sección 0801910122,795,715,25*,55*
Sección 0801910123,815,625,65*,125*
Sección 0801910124,500,500,0,0
Sección 0801910125,560,560,0,0
Sección 0801910126,460,405,0,50*
Sección 0801910127,490,490,0,0
Sección 0801910128,720,720,0,0
Sección 0801910129,540,445,0,95*
Sección 0801910130,610,545,0,70*
Sección 0801910131,485,485,0,0
Sección 0801910132,575,470,35*,70*
Sección 0801910133,825,745,30*,50*
Sección 0801910134,755,665,0,85*
Sección 0801910135,510,435,0,80*
Sección 0801910136,530,485,0,45*
Sección 0801910137,750,640,0,110*
Sección 0801910138,865,695,45*,125*
Sección 0801910139,755,585,65*,105*
Sección 0801910140,625,580,0,45*
Sección 0801910141,495,385,55*,55*
Sección 0801910142,695,650,0,45*
Sección 0801910143,805,575,90*,140*